"RelativePath","Size","AssociatedInf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxo64_dev.vp","43143","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxo64.vp","42513","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxs64.vp","5052","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxsn64.vp","5587","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igvk32.dll","15923920","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igvk32.json","135","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igvk64.dll","17784232","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igvk64.json","135","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igxelpicd32.dll","13172080","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igxelpicd64.dll","16269144","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/intel_gfx_api-x64.dll","173128","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/intel_gfx_api-x86.dll","148424","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/Intel_OpenCL_ICD32.dll","370536","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/Intel_OpenCL_ICD64.dll","507768","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/IntelCpHDCPSvc.exe","365128","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/IntelCpHeciSvc.exe","521288","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/libmfx32-gen.dll","22372472","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/libmfx64-gen.dll","23228048","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/libmfxhw32.dll","24113944","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/libmfxhw64.dll","25637824","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_loader_dll_hw32.dll","257104","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_loader_dll_hw64.dll","309712","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_av1hve_32.dll","2644984","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_av1hve_32.vp","73101","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_av1hve_64.dll","3268928","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_av1hve_64.vp","14089","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_encrypt_32.dll","2474160","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_encrypt_64.dll","3044984","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_h264ve_32.dll","2635040","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_h264ve_64.dll","3252416","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/mfx_mft_h265ve_32.dll","2648168","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
